Year,Team,League,G,HR,HBP,IFFB,BB,IP,fWAR,K
2022,ARI,NL,162,71,26,73,223,558,-1,478
2023,ARI,NL,162,79,27,66,237,595,2.2,586
2024,ARI,NL,162,75,28,58,234,617,2.3,564
2022,ATL,NL,162,53,24,76,196,557.67,7.4,630
2023,ATL,NL,162,75,24,55,211,588,4.8,642
2024,ATL,NL,162,57,21,43,172,539,6.1,594
2022,BAL,AL,162,62,31,51,210,631,4.6,594
2023,BAL,AL,162,52,30,53,212,575.33,7.5,614
2024,BAL,AL,162,64,28,67,209,560.67,3.5,571
2022,BOS,AL,162,73,46,63,268,623.33,1.3,627
2023,BOS,AL,162,78,40,83,255,655.67,4.6,636
2024,BOS,AL,162,80,26,73,208,613,3.6,582
2022,CHC,NL,162,98,41,69,276,657,0.6,716
2023,CHC,NL,162,64,33,63,272,584,4,641
2024,CHC,NL,162,63,27,63,239,571.33,2.9,587
2022,CHW,AL,162,58,22,56,231,582.33,5.2,619
2023,CHW,AL,162,79,40,50,283,591.67,1.1,597
2024,CHW,AL,162,82,31,66,338,638.67,0.6,656
2022,CIN,NL,162,82,42,83,296,613.67,2.5,633
2023,CIN,NL,162,76,43,94,305,652.33,6.2,617
2024,CIN,NL,162,80,32,88,211,602.67,5.1,624
2022,CLE,AL,162,53,24,54,192,549,6.3,592
2023,CLE,AL,162,67,20,45,232,586.67,4.2,588
2024,CLE,AL,161,52,32,62,203,623,7.7,650
2022,COL,NL,162,62,23,57,245,565.67,3.9,532
2023,COL,NL,162,80,47,59,313,647,2.6,596
2024,COL,NL,162,80,30,51,273,601,-0.2,527
2022,DET,AL,162,46,31,51,243,617,5.4,601
2023,DET,AL,162,82,28,53,224,655.67,3.1,642
2024,DET,AL,162,76,33,71,210,694,3.6,624
2022,HOU,AL,162,36,29,52,188,495.33,7.5,575
2023,HOU,AL,162,71,35,57,225,545.33,3.9,608
2024,HOU,AL,161,72,33,57,218,551.33,2,592
2022,KCR,AL,162,58,38,59,287,583.33,2.2,552
2023,KCR,AL,162,85,38,61,302,623.33,0.7,634
2024,KCR,AL,162,49,25,50,196,517,3.6,463
2022,LAA,AL,162,81,28,59,226,592.33,1.4,553
2023,LAA,AL,162,88,41,67,290,601.67,0.5,596
2024,LAA,AL,162,72,39,74,272,597,1.2,549
2022,LAD,NL,162,53,37,78,178,581,8.8,629
2023,LAD,NL,162,68,34,70,216,644.67,7.7,664
2024,LAD,NL,162,78,38,81,233,648,4.4,626
2022,MIA,NL,162,66,28,42,238,555.67,2.1,582
2023,MIA,NL,162,76,36,65,246,617.33,6.4,665
2024,MIA,NL,162,58,38,62,242,652.33,7,655
2022,MIL,NL,162,83,34,56,221,596.33,2.7,641
2023,MIL,NL,162,64,32,54,220,565.67,4.7,579
2024,MIL,NL,162,72,24,74,222,652,5.9,638
2022,MIN,AL,162,78,30,64,243,654.33,2.8,675
2023,MIN,AL,162,71,30,61,220,556.33,3.5,590
2024,MIN,AL,162,60,39,71,213,588,5.9,627
2022,NYM,NL,162,68,24,58,196,560.67,4.9,646
2023,NYM,NL,162,74,55,71,249,558.33,0.7,571
2024,NYM,NL,162,62,40,60,251,549.67,3.8,648
2022,NYY,AL,162,36,35,60,228,557.33,6.4,562
2023,NYY,AL,162,59,44,46,256,619,4.8,625
2024,NYY,AL,162,65,41,49,226,581.33,3.1,591
2022,OAK,AL,162,66,38,67,236,576,0,541
2023,OAK,AL,162,82,48,100,368,681.67,-0.4,630
2024,OAK,AL,162,52,45,73,262,597.33,4.5,605
2022,PHI,NL,162,49,29,55,248,531.67,5.2,576
2023,PHI,NL,162,61,25,59,217,543.33,6.7,590
2024,PHI,NL,162,64,36,60,194,539.67,5.8,582
2022,PIT,NL,162,70,47,77,296,653.67,1.6,595
2023,PIT,NL,162,71,34,79,259,626.33,4.9,638
2024,PIT,NL,162,55,49,65,257,583,3.4,587
2022,SDP,NL,162,53,41,51,181,542.33,5.5,533
2023,SDP,NL,162,65,44,62,242,577.33,3.8,575
2024,SDP,NL,162,62,26,63,185,572,5.5,596
2022,SEA,AL,162,65,23,71,181,544,3.8,583
2023,SEA,AL,162,60,30,49,211,548,5.5,603
2024,SEA,AL,162,61,24,57,184,490.33,1.7,527
2022,SFG,NL,162,65,21,61,241,650,3,582
2023,SFG,NL,162,75,35,72,232,705.33,5.6,703
2024,SFG,NL,162,69,34,64,233,655,2.8,658
2022,STL,NL,162,59,21,52,215,571.33,3.1,507
2023,STL,NL,162,65,27,46,241,579.67,4.4,562
2024,STL,NL,162,59,17,46,189,563.33,3.9,519
2022,TBR,AL,162,83,37,94,212,682.67,3.9,657
2023,TBR,AL,162,76,46,84,232,658.33,5.5,657
2024,TBR,AL,162,82,35,88,219,629.67,2.2,619
2022,TEX,AL,162,66,26,72,264,641.67,3.2,620
2023,TEX,AL,162,85,25,80,202,564.33,2.2,557
2024,TEX,AL,162,79,37,65,279,604,2,623
2022,TOR,AL,162,79,37,74,213,613.67,2.3,608
2023,TOR,AL,162,71,23,60,195,557,4.6,606
2024,TOR,AL,162,92,24,63,228,565.67,-2.5,502
2022,TOT,2LG,162,65,32,64,230,592.53,3.6,594
2023,TOT,2LG,162,73,35,64,247,603.44,3.9,611
2024,TOT,2LG,162,68,32,64,227,592.63,3.5,590
2022,WAS,NL,162,83,36,77,235,638,1.7,585
2023,WAS,NL,162,94,33,54,247,599,0.4,523
2024,WAS,NL,162,65,20,65,195,582,4.3,523
